city;country;price;size;rooms;latitude;longitude;address
berlin;DE;197600;50.4;2;;;"Erasmusstraße 1, Tiergarten (Tiergarten), Berlin"
berlin;DE;318800;87.25;3;52.5090767;13.5020298;"Irenenstraße 15, Lichtenberg (Lichtenberg), Berlin"
berlin;DE;225900;61.94;2;52.5067359;13.5025777;"Zachertstraße 8, Friedrichsfelde (Lichtenberg), Berlin"
berlin;DE;415300;69.17;2;52.5101969;13.465777;"Weserstraße 30, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;279300;63.21;1.5;52.5128917;13.4598191;"Kreutzigerstrasse 17, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;510000;61.8;2;52.5278046;13.3903377;"Torstraße 225A, Mitte (Mitte), Berlin"
berlin;DE;740000;85.99;3;52.5278046;13.3903377;"Torstraße 225B, Mitte (Mitte), Berlin"
berlin;DE;1640000;137;3;52.5275087;13.3881444;"Torstraße 225, Mitte (Mitte), Berlin"
berlin;DE;1310000;144.5;3;52.515858;13.3330819;"Wegelystraße 4A, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;1338474;151.24;3;52.515858;13.3330819;"Wegelystraße 4A, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;609528;87.2;3;52.4811497;13.4353501;"Neukölln (Neukölln), Berlin"
berlin;DE;339000;77;3;52.482157;13.3551901;"Schöneberg (Schöneberg), Berlin"
berlin;DE;730000;110;3;52.4860843;13.3859508;"Kreuzberg (Kreuzberg), Berlin"
berlin;DE;254000;50;2;52.482157;13.3551901;"Schöneberg (Schöneberg), Berlin"
berlin;DE;1698000;224;5;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;628000;100;4;52.4811497;13.4353501;"Neukölln (Neukölln), Berlin"
berlin;DE;208900;30.14;1;52.4991244;13.4598093;"Bossestraße 7, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;211900;30.51;1;52.4991244;13.4598093;"Bossestraße 7, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1195000;152;4.5;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;229500;77.16;3;52.44008;13.3900277;"Mariendorf (Tempelhof), Berlin"
berlin;DE;703240;112;3;52.500467;13.3361644;"Nürnberger Straße 27., Charlottenburg (Charlottenburg), Berlin"
berlin;DE;309675;57.06;2;52.500392;13.4600276;"Corinthstr. 28, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;651455;136.28;3;52.4559419;13.316712596433522;"Wrangelstr. 10., Steglitz (Steglitz), Berlin"
berlin;DE;299000;57.94;2;;;"Rheingaustr. 19.., Friedenau (Schöneberg), Berlin"
berlin;DE;153000;22;1;52.562931449999994;13.443391750285176;"Heinersdorf (Weißensee), Berlin"
berlin;DE;159000;33.7;1.5;52.472075;13.3296424;"Friedenau (Schöneberg), Berlin"
berlin;DE;309675;59;2;;;"Alt-Moabit 73a., Tiergarten (Tiergarten), Berlin"
berlin;DE;519357;74.3;2;52.4811497;13.4353501;"Neukölln (Neukölln), Berlin"
berlin;DE;1009130;149.23;5;52.4856301;13.3189541;"Wilhelmsaue 32, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;1205619;141.1;4;52.4856301;13.3189541;"Wilhelmsaue 32, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;695500;106.97;3;52.50530965;13.415401516692508;"Dresdener Str. 34, Mitte (Mitte), Berlin"
berlin;DE;729900;114.98;4;52.5123747;13.3011204;"Kaiser-Friedrich-Straße 25, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;2150000;152;3;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;899000;126.12;4;52.5032371;13.4787176;"Spittastraße 37, Lichtenberg (Lichtenberg), Berlin"
berlin;DE;659000;71.54;2;52.5065913;13.438402;"Mühlenstraße 31, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1386000;107.17;3;52.5065913;13.438402;"Mühlenstraße 31, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1959000;156.65;5;;;"Karlsruher Straße 18, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;994000;132.55;4;;;"Karlsruher Straße 18, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;367000;64.69;3;52.4343969;13.5473357;"Moissistraße 7, Adlershof (Treptow), Berlin"
berlin;DE;379000;64.69;3;52.4343969;13.5473357;"Moissistraße 7, Adlershof (Treptow), Berlin"
berlin;DE;375000;64.24;2;52.4187163;13.305304629255318;"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin"
berlin;DE;399000;65.65;2;52.4187163;13.305304629255318;"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin"
berlin;DE;726000;93.7;3;52.4995315;13.370157;"Dennewitzstraße 40, Tiergarten (Tiergarten), Berlin"
berlin;DE;648000;84.77;3;52.4995315;13.370157;"Dennewitzstraße 40, Tiergarten (Tiergarten), Berlin"
berlin;DE;543479;67.01;2;52.523757599999996;13.287325731641667;"Heubnerweg 9a, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;627946;89.73;3;52.523757599999996;13.287325731641667;"Heubnerweg 9a, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;1045000;126.39;3;52.4604156;13.436623;"Jahnstraße 80, Britz (Neukölln), Berlin"
berlin;DE;458000;84.08;3;52.4604156;13.436623;"Jahnstraße 80, Britz (Neukölln), Berlin"
berlin;DE;796014;105.53;4;52.431595;13.310364800000002;"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin"
berlin;DE;615583;84.99;3;52.431595;13.310364800000002;"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin"
berlin;DE;329000;36.62;1.5;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;265000;30.07;1;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;933000;125.85;4;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1057000;125.85;4;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;587000;71.66;3;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;577000;71.66;3;52.5050474;13.4406603;"Mühlenstraße 20, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;950000;96.93;2;52.5108256;13.4522496;"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1599000;192.67;5;52.5108256;13.4522496;"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1250000;132.9;3;52.5108256;13.4522496;"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;925000;91.57;3;52.4970374;13.3016006;"Cicerostraße 8, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;3444000;245.93;7;52.4970374;13.3016006;"Cicerostraße 8, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;1075000;162;4;52.4573805;13.2810976;"Dahlem (Zehlendorf), Berlin"
berlin;DE;369000;82.1;3;52.5112257;13.2923472;"Wundtstraße 24, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;199500;29.46;1;52.5168175;13.419104497613569;"Holzmarktstraße 73, Mitte (Mitte), Berlin"
berlin;DE;469500;70.22;2;52.5544816;13.4248497;"Talstr. 4, Pankow (Pankow), Berlin"
berlin;DE;2250000;330;4;52.4926278;13.4348472;"Paul-Lincke Ufer 8b, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;699500;93.11;3;52.5173367;13.4158783;"Voltairestraße 200, Mitte (Mitte), Berlin"
berlin;DE;1998000;185;5;52.4819508;13.309856;"Schmargendorf (Wilmersdorf), Berlin"
