city;country;price;size;rooms;latitude;longitude;address
munich;DE;1158000;109.68;4;48.1861971;11.56597345;"Schleißheimer Straße 321, Milbertshofen, München"
munich;DE;1187000;110.71;3.5;48.1861971;11.56597345;"Schleißheimer Straße 321, Milbertshofen, München"
munich;DE;649000;72.33;2;48.1861971;11.56597345;"Schleißheimer Straße 321, Milbertshofen, München"
munich;DE;1259000;124.9;4;48.145344050000006;11.469575447207449;"Landsberger Straße 459, Pasing, München"
munich;DE;394500;33.94;1;48.145344050000006;11.469575447207449;"Landsberger Straße 459, Pasing, München"
munich;DE;2290000;175;5;48.1317712;11.5558087;"Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;545000;48.35;2;48.081543350000004;11.551578650000002;"Geiselgasteigstraße 100, Harlaching, München"
munich;DE;960000;102.23;4;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;800000;99;2;48.097802;11.5208073;"Obersendling, München"
munich;DE;895000;111.8;3;48.1584371;11.4140662;"Aubing, München"
munich;DE;1355000;100.36;3;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;1090000;83.45;3;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;1520000;83;2.5;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;3940000;231;5;48.1317712;11.5558087;"Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;730000;78.94;3;48.1133952;11.5128004;"Waldfriedhofstraße 26, Sendling-Westpark, München"
munich;DE;460000;52.71;2;48.1133952;11.5128004;"Waldfriedhofstraße 26, Sendling-Westpark, München"
munich;DE;1067900;108.76;4;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;441900;50.57;2;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;686900;78.89;3;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;468900;53.94;2;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;944900;98.74;3.5;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;1046900;106.12;4;48.137823499999996;11.429240150000002;"Voglerstraße 2, Aubing, München"
munich;DE;2636000;140.2;4;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;2321000;133.74;4;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;1226000;115.77;4;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;462000;35.98;1;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;751000;57.59;2;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;1097000;89.98;3;48.1234026;11.5865662;"Regerstraße 24, Haidhausen, München"
munich;DE;849000;95.59;4;48.1470414;11.4570516;"Bodenseestraße 24-28, Pasing, München"
munich;DE;489000;63.63;2;48.1470414;11.4570516;"Bodenseestraße 24-28, Pasing, München"
munich;DE;478600;56.2;2;48.1521616;11.4810354;"Berduxstraße 30, Obermenzing, München"
